categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori_split
Scarpe Sportive,40.0,uomo,ASICS,POWERBREAK FF - Scarpe da pallamano - white/nova orange,134.99,149.99,https://www.zalando.it/asics-powerbreak-scarpe-da-pallamano-whitenova-orange-as142a15g-a13.html?size=40,POWERBREAK FF,scarpe da pallamano,white/nova orange
Scarpe Sportive,40.0,uomo,UNDER ARMOUR,INFINITE PRO UNISEX - Scarpe da trail running - silica green/summit white/white,139.99,139.99,https://www.zalando.it/under-armour-infinite-pro-scarpe-da-trail-running-silica-greensummit-whitewhite-un242a0mq-m11.html?size=40,INFINITE PRO UNISEX,scarpe da trail running,silica green/summit white/white
Scarpe Sportive,40.0,uomo,NEW BALANCE,FRESH FOAM X HIERRO V9 - Scarpe da trail running - arid stone,159.99,159.99,https://www.zalando.it/new-balance-hierro-v9-scarpe-da-trail-running-arid-stone-ne242a0oc-c11.html?size=40,FRESH FOAM X HIERRO V9,scarpe da trail running,arid stone
Scarpe Sportive,40.0,uomo,PUMA,ULTRA 5 ULTIMATE FG - Scarpe da calcetto con tacchetti - fizzy apple/white/bluemazing,114.99,229.99,https://www.zalando.it/puma-ultra-5-ultimate-fg-scarpe-da-calcetto-con-tacchetti-fizzy-applewhitebluemazing-pu142a1tv-m11.html?size=40,ULTRA 5 ULTIMATE FG,scarpe da calcetto con tacchetti,fizzy apple/white/bluemazing
Scarpe Sportive,40.0,uomo,PUMA,SNEAKER - Scarpe da corsa su strada - ocean tropic lime pow  silver,104.0,130.0,https://www.zalando.it/puma-sneakers-basse-ocean-tropic-lime-pow-silver-pu112o0oh-k11.html?size=40,SNEAKER,scarpe da corsa su strada,ocean tropic lime pow  silver
Scarpe Sportive,40.0,uomo,UNDER ARMOUR,VELOCITI 4 - Scarpe da corsa su strada - halo gray,77.97,130.0,https://www.zalando.it/under-armour-scarpe-running-neutre-halo-gray-un242a0o5-c11.html?size=40,VELOCITI 4,scarpe da corsa su strada,halo gray
Scarpe Sportive,40.0,uomo,UNDER ARMOUR,DYNAMIC 2 - Scarpe da allenamento - ether blue,100.0,100.0,https://www.zalando.it/under-armour-dynamic-scarpe-da-allenamento-ether-blue-un242a0np-k12.html?size=40,DYNAMIC 2,scarpe da allenamento,ether blue
Scarpe Sportive,40.0,uomo,PUMA,PWR NITRO SQD2 - Scarpe da corsa su strada - black green moon,103.95,130.0,https://www.zalando.it/puma-nitro-2-scarpe-da-corsa-su-strada-black-green-moon-pu144a0c2-q14.html?size=40,PWR NITRO SQD2,scarpe da corsa su strada,black green moon
Scarpe Sportive,40.0,uomo,ASICS,MAGIC SPEED 4 - Scarpe da corsa su strada - soothing sea/black,179.95,179.95,https://www.zalando.it/asics-magic-speed-4-scarpe-da-corsa-su-strada-soothing-seablack-as142a163-k11.html?size=40,MAGIC SPEED 4,scarpe da corsa su strada,soothing sea/black
Scarpe Sportive,40.0,uomo,PUMA,FUTURE 8 PRO MXSG - Scarpe da calcio con tacchetti - black/white/glowing red,83.99,139.99,https://www.zalando.it/puma-future-8-pro-mxsg-scarpe-da-calcio-con-tacchetti-blackwhiteglowing-red-pu142a1wl-q11.html?size=40,FUTURE 8 PRO MXSG,scarpe da calcio con tacchetti,black/white/glowing red
Scarpe Sportive,40.0,uomo,UNDER ARMOUR,PROJECT ROCK - Scarpe da allenamento - black/white/racer red,111.99,159.99,https://www.zalando.it/under-armour-project-rock-7-scarpe-da-allenamento-blackwhiteracer-red-un242a0mj-q13.html?size=40,PROJECT ROCK,scarpe da allenamento,black/white/racer red
Scarpe Sportive,40.0,uomo,UNDER ARMOUR,INFINITE PRO UNISEX - Scarpe da trail running - ivory dune/aero pink,139.99,139.99,https://www.zalando.it/under-armour-infinite-pro-unisex-scarpe-da-trail-running-ivory-duneaero-pink-un242a0mq-b11.html?size=40,INFINITE PRO UNISEX,scarpe da trail running,ivory dune/aero pink
Scarpe Sportive,40.0,uomo,ASICS,TRABUCO TERRA 2 - Scarpe da trail running - saxon green/pure aqua,119.99,119.99,https://www.zalando.it/asics-trabuco-terra-2-scarpe-da-trail-running-saxon-greenpure-aqua-as142a119-m11.html?size=40,TRABUCO TERRA 2,scarpe da trail running,saxon green/pure aqua
